Type,Name, Y,SAIVI,NDVI,RVI,EVI,OSAVI,MSAVI,TCI,ARVI
High,01-002,0.5316,0.3455,0.456,2.6765,0.2436,0.3434,0.227,2.3308,0.2876
Low,01-003,0.2322,0.2355,0.3674,2.1615,0.1748,0.264,0.1635,2.6341,0.178
